energy_consumption,time,energy_consumption_diff
117044.087,2023-04-02 01:33:48.476,0.0
117044.087,2023-04-02 01:53:51.982,0.0
117044.087,2023-04-02 02:13:52.405,0.0
117044.087,2023-04-02 02:33:56.850,0.0
117044.087,2023-04-02 02:54:01.080,0.0
117044.087,2023-04-02 03:14:05.294,0.0
117044.087,2023-04-02 03:34:09.153,0.0
117044.087,2023-04-02 03:54:10.279,0.0
117044.087,2023-04-02 04:14:13.758,0.0
117044.087,2023-04-02 04:34:17.039,0.0
117044.087,2023-04-02 04:54:18.388,0.0
117044.087,2023-04-02 05:14:20.802,0.0
117044.087,2023-04-02 05:34:25.339,0.0
117044.087,2023-04-02 05:54:27.762,0.0
117044.087,2023-04-02 06:14:33.494,0.0
117044.087,2023-04-02 06:34:34.162,0.0
117044.087,2023-04-02 06:54:36.439,0.0
117044.087,2023-04-02 07:14:38.871,0.0
117044.087,2023-04-02 07:34:44.015,0.0
117044.087,2023-04-02 07:54:45.749,0.0
117044.087,2023-04-02 08:14:50.897,0.0
117044.087,2023-04-02 08:34:54.454,0.0
117044.087,2023-04-02 08:54:57.195,0.0
117044.087,2023-04-02 09:15:00.086,0.0
117044.087,2023-04-02 09:35:05.121,0.0
117044.087,2023-04-02 09:55:07.060,0.0
117044.087,2023-04-02 10:15:09.737,0.0
117044.087,2023-04-02 10:35:11.734,0.0
117044.087,2023-04-02 10:55:15.732,0.0
118321.828,2023-04-24 06:43:29.956,3.61799999998766
118325.913,2023-04-24 07:03:34.154,4.085000000006403
118329.517,2023-04-24 07:23:38.817,3.6040000000066357
118333.101,2023-04-24 07:43:43.424,3.583999999988009
118337.002,2023-04-24 08:03:44.390,3.900999999998021
118340.977,2023-04-24 08:23:45.912,3.9750000000058208
118344.719,2023-04-24 08:43:51.096,3.74199999999837
118348.475,2023-04-24 09:03:54.873,3.7560000000084983
118350.824,2023-04-24 09:18:09.464,2.348999999987427
118354.366,2023-04-24 09:38:10.205,3.5420000000012806
118357.835,2023-04-24 09:58:13.183,3.4690000000118744
118361.33,2023-04-24 10:18:18.261,3.4949999999953434
118364.946,2023-04-24 10:38:22.008,3.6159999999945285
118367.871,2023-04-24 10:58:25.054,2.9250000000029104
118370.859,2023-04-24 11:18:26.381,2.9879999999975553
118373.782,2023-04-24 11:38:29.962,2.923000000009779
118376.738,2023-04-24 11:58:34.932,2.955999999991036
118379.688,2023-04-24 12:18:37.591,2.9499999999970896
118382.622,2023-04-24 12:38:39.901,2.934000000008382
118385.426,2023-04-24 12:58:42.145,2.8040000000037253
118388.377,2023-04-24 13:18:46.030,2.9509999999863794
118391.283,2023-04-24 13:38:47.021,2.9060000000026776
118399.544,2023-04-24 14:38:58.530,8.260999999998603
118401.684,2023-04-24 14:59:01.985,2.139999999999418
118403.272,2023-04-24 15:19:03.162,1.588000000003376
118404.262,2023-04-24 15:39:17.048,0.9900000000052387
118405.31,2023-04-24 15:59:09.948,1.047999999995227
118405.828,2023-04-24 16:19:12.032,0.5179999999963911
118406.367,2023-04-24 16:39:16.962,0.5390000000043074
118406.897,2023-04-24 16:59:22.052,0.5299999999988358
118407.426,2023-04-24 17:19:24.777,0.5290000000095461
118407.955,2023-04-24 17:39:25.764,0.5289999999949941
118408.57,2023-04-24 17:59:27.886,0.6150000000052387
118409.078,2023-04-24 18:19:30.245,0.5079999999870779
118409.595,2023-04-24 18:39:33.453,0.5170000000071013
118410.115,2023-04-24 18:59:37.957,0.5200000000040745
118410.15,2023-04-24 19:19:52.262,0.034999999988940544
118410.15,2023-04-24 19:39:46.113,0.0
118410.15,2023-04-24 19:59:50.233,0.0
118410.15,2023-04-24 20:19:52.374,0.0
118410.15,2023-04-24 20:39:56.786,0.0
118410.15,2023-04-24 20:59:57.654,0.0
118410.15,2023-04-24 21:20:00.575,0.0
118410.15,2023-04-24 21:40:03.390,0.0
118410.15,2023-04-24 22:00:06.496,0.0
118410.15,2023-04-24 22:20:09.973,0.0
118410.15,2023-04-24 22:40:14.427,0.0
118410.15,2023-04-24 23:00:15.822,0.0
118410.15,2023-04-24 23:20:19.366,0.0
118410.15,2023-04-24 23:40:23.841,0.0
118410.15,2023-04-25 00:00:27.467,0.0
118410.15,2023-04-25 00:20:29.154,0.0
118410.15,2023-04-25 00:40:33.123,0.0
118410.15,2023-04-25 01:00:37.582,0.0
118410.15,2023-04-25 01:20:41.621,0.0
118410.15,2023-04-25 01:40:45.479,0.0
118410.15,2023-04-25 02:00:49.987,0.0
118410.15,2023-04-25 02:20:51.732,0.0
118410.15,2023-04-25 02:40:53.655,0.0
118410.15,2023-04-25 03:01:07.124,0.0
118410.15,2023-04-25 03:21:01.982,0.0
118410.15,2023-04-25 03:41:06.095,0.0
118410.15,2023-04-25 04:01:08.877,0.0
118410.15,2023-04-25 04:41:15.381,0.0
118410.174,2023-04-25 05:01:17.035,0.024000000004889444
118410.865,2023-04-25 05:21:20.131,0.69100000000617
118411.822,2023-04-25 05:41:22.995,0.9569999999948777
118412.697,2023-04-25 06:01:25.935,0.875
118414.937,2023-04-25 06:21:29.060,2.2400000000052387
118416.886,2023-04-25 06:41:32.554,1.948999999993248
118419.054,2023-04-25 07:01:34.906,2.1680000000051223
118421.162,2023-04-25 07:21:39.068,2.1079999999928987
118423.359,2023-04-25 07:41:42.437,2.1970000000001164
118425.531,2023-04-25 08:01:46.070,2.172000000005937
118427.826,2023-04-25 08:21:46.936,2.2949999999982538
118430.212,2023-04-25 08:41:47.982,2.385999999998603
118432.485,2023-04-25 09:01:50.726,2.2730000000010477
118434.693,2023-04-25 09:21:55.620,2.2079999999987194
118436.816,2023-04-25 09:41:56.571,2.1230000000068685
118438.931,2023-04-25 10:01:59.418,2.1149999999906868
118441.224,2023-04-25 10:22:03.769,2.2930000000051223
118443.608,2023-04-25 10:42:07.625,2.3839999999909196
118445.762,2023-04-25 11:02:11.880,2.154000000009546
118448.037,2023-04-25 11:22:14.613,2.2749999999941792
118450.256,2023-04-25 11:42:17.123,2.2189999999973224
118452.504,2023-04-25 12:02:22.205,2.2480000000068685
118454.752,2023-04-25 12:22:27.893,2.2479999999923166
118457.017,2023-04-25 12:42:32.796,2.26500000001397
118459.307,2023-04-25 13:02:35.443,2.289999999993597
118461.674,2023-04-25 13:22:37.255,2.36699999999837
118464.29,2023-04-25 13:42:39.253,2.6159999999945285
118466.635,2023-04-25 14:02:40.061,2.345000000001164
118469.214,2023-04-25 14:22:42.721,2.5790000000124564
118471.361,2023-04-25 14:42:44.638,2.146999999997206
118473.429,2023-04-25 15:02:45.726,2.0679999999993015
118474.274,2023-04-25 15:22:49.377,0.8450000000011642
118474.909,2023-04-25 15:42:52.424,0.6349999999947613
118475.516,2023-04-25 16:02:55.994,0.6070000000036089
118476.258,2023-04-25 16:23:00.531,0.7419999999983702
118476.749,2023-04-25 16:43:04.829,0.4909999999945285
118477.373,2023-04-25 17:03:05.882,0.6240000000107102
118477.856,2023-04-25 17:23:09.698,0.48299999999289867
118478.338,2023-04-25 17:43:11.217,0.4820000000036089
118478.81,2023-04-25 18:03:13.159,0.47199999999429565
118479.407,2023-04-25 18:23:16.085,0.5970000000088476
118479.919,2023-04-25 18:43:20.331,0.5119999999878928
118480.366,2023-04-25 19:03:21.374,0.4470000000001164
118480.366,2023-04-25 19:23:24.304,0.0
118480.366,2023-04-25 19:43:25.972,0.0
118480.366,2023-04-25 20:03:30.434,0.0
118480.366,2023-04-25 20:23:33.421,0.0
118480.366,2023-04-25 20:43:36.850,0.0
118480.366,2023-04-25 21:03:41.369,0.0
118480.366,2023-04-25 21:23:43.524,0.0
118480.366,2023-04-25 21:43:47.087,0.0
118480.366,2023-04-25 22:03:49.259,0.0
118480.366,2023-04-25 22:23:52.508,0.0
118480.366,2023-04-25 22:43:55.931,0.0
118480.366,2023-04-25 23:03:56.535,0.0
118480.366,2023-04-25 23:23:58.610,0.0
118480.366,2023-04-25 23:44:02.402,0.0
118480.366,2023-04-26 00:04:04.274,0.0
118480.366,2023-04-26 00:24:07.778,0.0
118480.366,2023-04-26 00:44:08.204,0.0
118480.366,2023-04-26 01:04:12.662,0.0
118480.366,2023-04-26 01:24:16.833,0.0
118480.366,2023-04-26 01:44:21.119,0.0
118480.366,2023-04-26 02:04:24.981,0.0
118480.366,2023-04-26 02:24:26.100,0.0
118480.366,2023-04-26 02:44:29.594,0.0
118480.366,2023-04-26 03:04:32.887,0.0
118480.366,2023-04-26 03:24:34.242,0.0
118480.366,2023-04-26 03:44:36.676,0.0
118480.366,2023-04-26 04:04:41.201,0.0
118480.366,2023-04-26 04:24:43.642,0.0
118480.366,2023-04-26 04:44:49.378,0.0
118480.536,2023-04-26 05:04:50.059,0.16999999999825377
118481.086,2023-04-26 05:24:52.344,0.5500000000029104
118481.625,2023-04-26 05:44:54.778,0.5390000000043074
118482.559,2023-04-26 06:05:00.052,0.93399999999383
118485.333,2023-04-26 06:25:01.802,2.7740000000048894
118488.009,2023-04-26 06:45:06.855,2.676000000006752
118490.614,2023-04-26 07:05:10.402,2.6049999999959255
118493.18,2023-04-26 07:25:13.153,2.565999999991618
118495.759,2023-04-26 07:45:16.054,2.5790000000124564
118498.509,2023-04-26 08:05:21.046,2.75
118501.346,2023-04-26 08:25:23.029,2.8369999999995343
118504.01,2023-04-26 08:45:25.742,2.6639999999897555
118506.699,2023-04-26 09:05:38.799,2.6889999999984866
118509.286,2023-04-26 09:25:32.044,2.5869999999995343
118511.877,2023-04-26 09:45:36.131,2.5910000000003492
118514.449,2023-04-26 10:05:50.141,2.5720000000001164
118517.016,2023-04-26 10:25:43.710,2.5670000000100117
118520.24,2023-04-26 10:45:46.902,3.224000000001979
118522.952,2023-04-26 11:05:48.933,2.7119999999995343
118525.951,2023-04-26 11:26:03.468,2.9989999999961583
118528.508,2023-04-26 11:45:54.938,2.5570000000006985
118531.049,2023-04-26 12:05:57.475,2.540999999997439
118533.567,2023-04-26 12:26:02.009,2.517999999996391
118536.126,2023-04-26 12:46:04.557,2.559000000008382
118538.714,2023-04-26 13:06:09.542,2.588000000003376
118541.216,2023-04-26 13:26:13.183,2.5019999999931315
118543.879,2023-04-26 13:46:15.185,2.6630000000004657
118547.039,2023-04-26 14:06:20.048,3.1600000000034925
118550.512,2023-04-26 14:26:33.829,3.4729999999981374
118553.035,2023-04-26 14:46:24.807,2.5230000000010477
118554.438,2023-04-26 15:06:26.727,1.4029999999911524
118555.142,2023-04-26 15:26:29.927,0.7040000000124564
118555.767,2023-04-26 15:46:33.059,0.625
118556.398,2023-04-26 16:06:36.745,0.6309999999939464
118557.015,2023-04-26 16:26:40.975,0.6169999999983702
118557.492,2023-04-26 16:46:42.619,0.47699999999895226
118558.492,2023-04-26 17:26:49.944,1.0
118558.994,2023-04-26 17:46:53.303,0.5020000000076834
118559.599,2023-04-26 18:06:57.297,0.6049999999959255
118560.07,2023-04-26 18:27:00.239,0.47100000000500586
118560.55,2023-04-26 18:47:04.758,0.47999999999592546
118560.904,2023-04-26 19:07:07.578,0.35399999999208376
118560.904,2023-04-26 19:27:09.097,0.0
118560.904,2023-04-26 19:47:13.950,0.0
118560.904,2023-04-26 20:07:18.704,0.0
118560.904,2023-04-26 20:27:22.547,0.0
118560.904,2023-04-26 20:47:26.346,0.0
118560.904,2023-04-26 21:07:28.484,0.0
118560.904,2023-04-26 21:27:33.258,0.0
118560.904,2023-04-26 21:47:35.240,0.0
118560.904,2023-04-26 22:07:38.860,0.0
118560.904,2023-04-26 22:27:42.865,0.0
118560.904,2023-04-26 22:47:46.448,0.0
118560.904,2023-04-26 23:07:50.215,0.0
118560.904,2023-04-26 23:27:52.845,0.0
118560.904,2023-04-26 23:47:57.095,0.0
118560.904,2023-04-27 00:08:02.339,0.0
118560.904,2023-04-27 00:28:05.325,0.0
118560.904,2023-04-27 00:48:08.606,0.0
118560.904,2023-04-27 01:08:11.884,0.0
118560.904,2023-04-27 01:28:13.193,0.0
118560.904,2023-04-27 01:48:17.644,0.0
118560.904,2023-04-27 02:08:20.037,0.0
118560.904,2023-04-27 02:28:21.535,0.0
118560.904,2023-04-27 02:48:22.049,0.0
118560.904,2023-04-27 03:08:24.599,0.0
118560.904,2023-04-27 03:28:28.012,0.0
118560.904,2023-04-27 03:48:42.062,0.0
118560.904,2023-04-27 04:08:35.580,0.0
118560.904,2023-04-27 04:28:36.259,0.0
118560.904,2023-04-27 04:48:37.541,0.0
118560.904,2023-04-27 05:08:39.736,0.0
118560.904,2023-04-27 05:28:41.846,0.0
118560.904,2023-04-27 05:48:42.803,0.0
118560.904,2023-04-27 06:08:46.523,0.0
118560.904,2023-04-27 06:28:47.466,0.0
118560.904,2023-04-27 06:48:51.240,0.0
118560.904,2023-04-27 07:08:53.978,0.0
118560.904,2023-04-27 07:28:55.702,0.0
118560.904,2023-04-27 07:48:58.208,0.0
118560.904,2023-04-27 08:08:59.665,0.0
118560.904,2023-04-27 08:29:02.750,0.0
118560.904,2023-04-27 08:49:06.908,0.0
118560.904,2023-04-27 09:09:11.093,0.0
118560.904,2023-04-27 09:29:15.659,0.0
118560.904,2023-04-27 09:49:19.116,0.0
118560.904,2023-04-27 10:09:22.596,0.0
118560.904,2023-04-27 10:29:25.994,0.0
118560.904,2023-04-27 10:49:28.334,0.0
118560.904,2023-04-27 11:09:30.185,0.0
118560.904,2023-04-27 11:29:42.035,0.0
118560.904,2023-04-27 11:49:33.955,0.0
118560.904,2023-04-27 12:09:37.635,0.0
118560.904,2023-04-27 12:29:40.965,0.0
118560.904,2023-04-27 12:49:43.582,0.0
118560.904,2023-04-27 13:09:46.660,0.0
118560.904,2023-04-27 13:29:49.086,0.0
118560.904,2023-04-27 13:49:51.121,0.0
118560.904,2023-04-27 14:09:53.275,0.0
118560.904,2023-04-27 14:29:53.681,0.0
118560.904,2023-04-27 14:49:54.828,0.0
118560.904,2023-04-27 15:09:57.540,0.0
118560.904,2023-04-27 15:30:01.011,0.0
118560.904,2023-04-27 15:50:04.736,0.0
118560.904,2023-04-27 16:10:07.704,0.0
118560.904,2023-04-27 16:30:08.333,0.0
118560.904,2023-04-27 16:50:11.736,0.0
118560.904,2023-04-27 17:10:15.634,0.0
118560.904,2023-04-27 17:30:18.839,0.0
118560.904,2023-04-27 17:50:22.156,0.0
118560.904,2023-04-27 18:10:24.027,0.0
118560.904,2023-04-27 18:30:24.836,0.0
118560.904,2023-04-27 18:50:28.376,0.0
118560.904,2023-04-27 19:10:30.466,0.0
118560.904,2023-04-27 19:30:33.180,0.0
118560.904,2023-04-27 19:50:33.884,0.0
118560.904,2023-04-27 20:10:36.857,0.0
118560.904,2023-04-27 20:30:38.269,0.0
118560.904,2023-04-27 20:50:41.369,0.0
118560.904,2023-04-27 21:10:45.023,0.0
118560.904,2023-04-27 21:30:49.208,0.0
118560.904,2023-04-27 21:50:54.782,0.0
118560.904,2023-04-27 22:10:57.343,0.0
118560.904,2023-04-27 22:31:02.703,0.0
118560.904,2023-04-27 22:51:08.038,0.0
118560.904,2023-04-27 23:11:10.677,0.0
118560.904,2023-04-27 23:31:24.967,0.0
118560.904,2023-04-27 23:51:18.871,0.0
118560.904,2023-04-28 00:11:34.702,0.0
118560.904,2023-04-28 00:31:28.771,0.0
118560.904,2023-04-28 00:51:31.643,0.0
118560.904,2023-04-28 01:11:34.141,0.0
118560.904,2023-04-28 01:31:37.319,0.0
118560.904,2023-04-28 01:51:51.893,0.0
118560.904,2023-04-28 02:11:45.059,0.0
118560.904,2023-04-28 02:31:46.850,0.0
118560.904,2023-04-28 03:11:52.677,0.0
118560.904,2023-04-28 03:32:06.306,0.0
118560.904,2023-04-28 03:51:56.417,0.0
118560.904,2023-04-28 04:12:01.094,0.0
118560.904,2023-04-28 04:32:03.786,0.0
118560.904,2023-04-28 04:52:06.993,0.0
118561.272,2023-04-28 05:12:09.205,0.3680000000022119
118561.831,2023-04-28 05:32:12.811,0.5590000000083819
118563.017,2023-04-28 06:12:18.445,1.1860000000015134
118563.663,2023-04-28 06:32:21.846,0.6459999999933643
